Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Part des prestations sociales dans le rev. disp. 2021;Part des pers. âgées de 75 ans ou + 2020;Médiane du niveau de vie 2021;Part des revenus d'activité dans le rev. disp. 2021;Part des pensions, retraites et rentes dans le rev. disp. 2021;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2020;Part des pers., dont le diplôme le plus élevé est le bac, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des revenus du patrimoine et autres dans le rev. disp. 2021
200026573;CC Haut-Jura Saint-Claude;19626;5;12;22570;69.5;33.4;28.2;15.8;11.1;7.1;4.8;6.6
200027027;CC Arc Sud Bretagne;28730;3.8;11.4;23230;60.1;41;19;19.4;11.8;7.7;5;9
200027076;CC Arnon Boischaut Cher;7934;5.3;14;21880;63.3;38.1;26.3;16.1;9;6;3.2;6.1
200027100;CC Méditerranée Porte des Maures;46303;3.9;14.7;24050;58.7;40.7;20;19.4;11.4;8.3;6.5;13.5
200027183;CU Perpignan Méditerranée Métropole;272976;9;12;20260;60.8;34.6;22.6;18.8;10;9.2;7.8;10.2
200027217;CC Sarlat-Périgord Noir;16155;5.2;13;21710;57;40.7;23.4;17.4;10.1;8.6;6.3;11.6
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;8125;4;11.6;22800;67.6;33.3;23.9;18.2;10.5;6.3;3.7;8.3
200027548;CC des Savanes;29390;N/A - résultat non disponible;1.7;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;41;15.5;7.8;6.6;7;N/A - résultat non disponible
200029734;CC des 4B Sud Charente;19890;5.6;13.3;21310;67.6;31.8;26.3;17.5;9.4;6.2;4.1;9.1
200029999;CC Rives de l'Ain - Pays du Cerdon;14705;4.4;8.9;23320;76.2;25.7;19.9;18.8;12.1;7.3;6.6;8.3
200030195;Métropole Nice Côte d'Azur;560351;5.5;12.3;22750;72.5;28.9;19.9;17.9;10.8;10.8;13;11.2
200030385;CA de Blois "Agglopolys";106200;6.1;10.6;22840;69.3;32.8;21.8;16.7;11.6;9.5;8.9;7.1
200030435;CC d'Aire-sur-l'Adour;12880;5.5;13.1;21980;60.4;37.8;22.6;17.4;10.6;6.8;4.9;9.7
200030526;CC du Ried de Marckolsheim;20597;3.4;8.1;24920;80.3;24.3;19.4;17.8;12.9;6.8;4.6;7.1
200030633;CA du Caudrésis et du Catésis;63602;9.6;8.7;19430;67.6;29.3;29.8;16.7;8.5;5.3;2.8;5.8
200030658;CC du Trièves;10261;3.8;10.9;23600;68.5;34;15.1;19.1;14.5;11.6;11.4;8.9
200030674;CA Val de Garonne Agglomération;60269;6.5;12.9;20650;63.2;34.8;27.6;16.6;9.3;6.5;4.4;9.1
200032514;CC Berry-Loire-Vauvise;5423;5.7;13.2;21410;61.6;38.5;26.6;17;9.3;5;2.5;7.1
200033025;CA de Bar-le-Duc - Sud Meuse;33812;5.9;11.7;22410;64.5;37.4;25;17.4;10.5;7.4;5.4;6.8
200033090;CC Plaines et Monts de France;25565;3.1;3.9;27500;89.6;17.8;16.3;22.1;14.2;9.8;6.8;7.6
200033116;CC Cluses-Arve et Montagnes;46778;4;7.2;24020;80.3;22.6;24.7;17.8;11.1;7.6;5.3;8.4
200033173;CC de la Haute Vallée de Chevreuse;25029;1.8;10.9;34090;83.4;27.8;10.1;14.8;14.3;14.5;28.2;12.3
200033181;CA Chartres Métropole;136831;4.8;9;24120;74.6;28.5;21.2;17.2;11.9;9.1;8.8;8.6
200033298;CC des Coëvrons;26926;5.4;12.6;21510;67.6;32.1;29.6;16.3;8.8;4.9;3.2;7.3
200033579;CU d'Arras;109776;6.3;8.5;22930;74.7;28.6;18.4;18.3;12.3;10.9;9.9;6.7
200033827;CC de Fium'Orbu Castellu;13227;6;11.9;21190;63;34.1;27.6;21.9;8.8;6.8;4.9;11.8
200033868;CC des Ballons des Hautes-Vosges;14694;5.6;13.6;20520;61.7;38.2;32.7;15.5;7.6;4;2.5;6.6
200034023;CC Tarn-Agout;29678;4.6;9.7;24270;76.9;25.9;17.8;17.7;13.8;11.1;10.8;8
200034031;CC des Monts d'Alban et du Villefranchois;6378;5.5;12.8;20890;62.2;34.7;23.6;19.8;12.2;7;4.7;9.8
200034049;CC Centre Tarn;11224;5.7;11.6;21400;66.6;31.3;22.3;19;12.9;7.7;5.1;9
200034056;CC du Lautrécois et du Pays d'Agout;14294;4.6;10.9;22310;69.7;29.6;19.9;18.4;13;9.5;5.9;9.7
200034064;CC du Cordais et du Causse (4 C);5290;5.7;16.6;19740;50.7;44.9;21.2;19.6;10.8;10.5;8.5;11.6
200034098;CC des Montagnes du Giffre;12121;2.1;8.5;26470;78.5;25.2;13;19.1;14.7;12.2;9.5;11.3
200034130;CC Gally Mauldre;22336;1.3;8.9;36330;88.4;24.4;8.4;15.2;14.4;16;29.1;14.9
200034197;CC de Montaigne Montravel et Gurson;11904;5.7;11.9;20870;62.8;36.6;24.7;17.6;9.1;6.1;4.8;8
200034205;CC de la Costa Verde;10831;7.3;12.2;20700;58.1;40.1;26.2;19.1;8.2;7.1;6.9;8.6
200034270;CC du Pays de Barr;24006;3.1;10;25310;77.5;26.4;17.6;18;13.2;9.8;8;9.6
200034379;CC Pays d'Uzès;29123;5;12.5;22350;58.4;40;19.7;18.5;11.6;11;8.6;12.3
200034411;CC du Piémont Cévenol;22301;6.2;10.6;21140;65.1;33.6;21.5;18.3;11.1;9.7;8;8.9
200034601;CC Causses Aigoual Cévennes;5337;7.8;14.5;18470;51.1;43.7;23.3;18.8;10.2;9.1;8;9.6
200034635;CC du Kochersberg;26648;1.8;8.4;28990;79.5;27.2;11.2;17.9;16.4;11.5;14;10.7
200034692;CA du Gard Rhodanien;75467;6.1;10.5;22370;68.8;31.7;22;18.2;12.6;8.1;7.4;8.1
200034700;CA Durance-Lubéron-Verdon Agglomération;63462;5.2;12.6;22440;60;32.5;19.7;17.9;11.8;8.7;9.5;17.5
200034718;CC de Vitry, Champagne et Der;23585;7.2;11.3;20790;64;34.3;33;14.5;8.3;5;3.4;7.9
200034726;CC Bastides de Lomagne;11298;4.5;13.7;22970;69.5;30.7;20.8;18.3;12.2;9.4;8.4;9.7
200034825;CA du Grand Guéret;28494;6.6;11.8;22280;63.4;37.5;19.6;18.8;11.1;8.5;5.7;6.2
200034833;CC des Bastides Dordogne-Périgord;18600;4.7;16.7;21330;53.9;45;22.5;17.5;9.6;7.6;5.5;10
200034874;CC Côtes de Meuse Woëvre;5987;4.7;8;22050;70.6;29.7;20.3;19.2;11.4;7.2;4.7;8.9
200034882;CC Pays du Mont-Blanc;45310;2.7;9.6;25310;74.9;26.5;18.5;18.6;11.9;10.3;7.9;13.3
200034957;CC du Frontonnais;28233;4.1;7;25370;84.3;19.3;14.3;18.9;15.6;10.4;10.9;8.7
200035087;CA Terre de Provence;60434;4.9;10.1;22710;74.3;25.6;23.5;17.5;11.6;8.4;7.3;11.4
200035103;CC de la Vallée de la Haute Sarthe;7481;4.9;11.5;21850;67.6;33.5;25.5;17.4;10;6.4;4.5;7.5
200035111;CC des Sources de l'Orne;11928;6.1;12.2;21450;67.8;31.2;27.3;16.2;10;6.7;4.7;7.8
200035129;CC de Cèze Cévennes;19197;8.4;15.4;18890;51;44.3;25.2;18;9;6.8;4.2;7.8
200035137;CC Marche Occitane - Val d'Anglin;6534;5.7;18.1;20120;51.3;46.2;29.6;15.8;6.4;5.4;3.7;8.6
200035202;CC Charlieu-Belmont;23459;4.6;11.5;22300;67.2;32.4;24.8;17.3;10.5;6;4;9.3
200035319;CA Estérel Côte d'Azur Agglomération;118468;4.2;16.3;23520;57.9;43.1;19.9;20;11.1;9.1;8.1;12.8
200035327;CC Cazals-Salviac;5384;4.9;15.7;20410;48.8;50.1;23.9;18.9;9.1;8.9;5.6;9.2
200035442;CC du Sud-Artois;27059;5.8;8.8;21610;74.7;26.6;25.2;18.4;10;5.9;3.7;7.1
200035533;CC du Grand Saint-Émilionnais;14173;3.9;10;22880;69.8;26.5;23;17.1;11.2;7.8;6.7;16.6
200035541;CC des Landes d'Armagnac;10768;5;15.2;21320;59.1;40.6;24.9;18;9.4;6.2;3.9;8
200035632;CC Armagnac Adour;6621;5.9;15.4;20640;55.6;41.4;24.7;18.6;9.5;7.3;4.7;9.7
200035707;CC Piège Lauragais Malepère;16185;6.9;11.7;20790;64.7;32.3;20.5;20.3;11.6;8.6;7;9.3
200035715;CA Carcassonne Agglo;113827;8.6;11.6;20520;62.9;34.3;21.6;20.1;10.8;8.7;6.6;7.9
200035723;CC Ventoux Sud;9556;5.3;10.2;21130;66.2;31.9;26.7;17.8;8.8;7.7;5.8;10.7
200035731;CA Roannais Agglomération;101302;6;13.4;21660;64.2;34.6;24.3;17;10.5;7.7;5.6;9.2
200035756;CC Astarac Arros en Gascogne;7173;4.3;12.8;21620;58.9;39.4;21.1;19.3;10;7.9;4.7;10.7
200035764;CC de la Beauce Loirétaine;16941;4;7.3;24010;78.2;24.7;19.9;22.2;12.6;6.4;4.2;8.1
200035772;CC du Pays du Saintois;14274;3.8;8.8;24350;77.9;26.4;18.6;18.2;14.1;8.4;6.2;6.6
200035814;CA Flers Agglo;52946;6;12.4;21280;64;35.4;28.8;16.2;9.1;5.7;4;7.5
200035848;CC du Châtillonnais en Berry;5628;5.3;21.2;20530;52.4;44.9;35.9;14.9;6.3;4.2;2.6;10
200035855;CC Castelnaudary Lauragais Audois;27823;6.6;10.8;21470;68.4;30.5;20.4;21.7;10.8;9.5;7.5;8.2
200035863;CC Région Lézignanaise, Corbières et Minervois;33191;7.9;11.9;20070;58.2;38.6;25.8;18.5;8.9;7.5;5.4;7.8
200035970;CC Vexin Centre;24906;2.6;6.5;28630;84.1;24.4;13.7;20;15;11.2;11.2;8.4
200036069;CC du Pays de Mortagne au Perche;13515;5.1;14.3;21720;62.8;37.3;28.8;15.3;8.4;5.7;5.5;9.5
200036077;CC du Golfe de Saint-Tropez;57409;2.9;13.2;23450;58.6;33.2;21.5;20.9;9.5;8;7.3;26
200036135;CC Cœur de France;18103;7;16;20950;57.4;41.7;29.7;15.3;7.9;5.4;3.6;7
