Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Part des prestations sociales dans le rev. disp. 2021;Part des pers. âgées de 75 ans ou + 2020;Médiane du niveau de vie 2021;Part des revenus d'activité dans le rev. disp. 2021;Part des pensions, retraites et rentes dans le rev. disp. 2021;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2020;Part des pers., dont le diplôme le plus élevé est le bac, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des revenus du patrimoine et autres dans le rev. disp. 2021
200041366;CC Rhône Crussol;34630;3.7;10.7;24600;71.9;31.2;16.6;18.7;13.7;10.9;9.5;9.5
200041416;CC Airvaudais-Val du Thouet;6892;5.2;15.2;21010;62.9;36.3;29.3;16.5;8.3;5.2;3.7;7.9
200041440;CC de Domme-Villefranche du Périgord;8499;4.6;16.9;21130;53.5;44.2;27;17.5;9.3;7;4.8;10.8
200041465;CC Val Eyrieux;12339;4.9;15.1;20890;57.6;40.8;27.1;15.8;9.4;6;4.5;9
200041499;CC Aunis Atlantique;31796;4.9;8.2;22960;78.6;24.4;17.8;20.2;12.9;7.5;5;5.8
200041507;CA La Riviera du Levant;65860;N/A - résultat non disponible;8.2;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;31.5;17.8;9.7;8.3;8;N/A - résultat non disponible
200041515;CC du Bassin de Pont-à-Mousson;40238;5.3;8.7;22880;71.7;30.2;21.2;18.5;12.1;8.3;6.4;7.2
200041523;CC de la Haute Saintonge;68476;5.8;13.2;21100;64.9;35.1;26.5;17.2;8.4;5.4;3.6;8.3
200041556;CC Portes de la Creuse en Marche;6591;6.1;16.4;19880;51.4;46.3;28.2;16.6;7.4;4.8;2.6;7.1
200041572;CC Dronne et Belle;11324;4.6;15.8;21570;60.4;39;23.9;16.4;10;8;5.6;9.4
200041614;CC Aunis Sud;32875;5.2;9.5;22190;69.1;31.9;20.8;17.8;10.9;7;4.7;7.1
200041622;CC Ardennes Thiérache;9547;7.2;10.3;20380;66.9;29.8;28.8;17.9;8.7;5.4;3.1;8.2
200041630;CA Ardenne Métropole;121252;9;9.9;20430;65.4;32.6;27;16;9.7;7.4;5;6.7
200041689;CC Vals de Saintonge Communauté;52150;5.9;14;20980;61.2;37.8;26.3;17.1;8.7;6;4.2;8.5
200041721;CC de la Haute Comté;16983;6.1;11.5;20410;61.6;38;30.3;16.1;8.3;4.7;3;6.4
200041762;CA Rochefort Océan;64240;6;12.1;22210;62.7;38;20.1;19.5;11.1;8.2;6;7.3
200041788;CA du Pays Nord Martinique;95643;13.4;11.2;18270;67.1;27;39.6;15.4;7.4;5.6;4.5;4.5
200041853;CC du Pays de Montbozon et du Chanois;6629;4.2;9.6;23280;75.2;28.4;19.7;17.8;11.4;7.9;5.8;5.9
200041861;CC du Triangle Vert;11000;4.6;8.2;22390;72;29.9;21.3;18.3;11;7.3;3.4;6.9
200041879;CC Terres de Saône;13156;5.1;9;22220;68.5;33.4;23.9;16.2;10.8;6.5;3.4;5.9
200041887;CC du Val Marnaysien;14536;3.7;7.6;24110;77.1;26;16.8;18.4;13.5;9.8;6.7;8.1
200041960;CC Pévèle-Carembault;97850;3.3;7.2;26660;81.5;23.9;16.2;16.9;14.6;12.3;13.7;9.6
200041994;CC Haut Val de Sèvre;30551;5.1;9.7;22870;72.9;29.8;19.8;20.3;12.1;7.7;5.2;6.2
200042000;CC Bruyères-Vallons des Vosges;14937;5.5;11;21390;68.3;31.8;26.4;16.5;10.6;6.3;3.5;7.6
200042174;CA Lorient Agglomération;206555;5.4;11.6;23000;65.4;36.2;18;19;12.2;9.4;7.8;8
200042182;CC du Mont des Avaloirs;15590;5.1;14.6;21030;61.4;36.7;32.2;15.3;7.5;4.5;2.7;9.1
200042190;CA de la Porte du Hainaut;157746;9.9;7.5;19520;70.6;26.6;26.4;17.6;9.4;6.6;4.5;5.6
200042372;CC des Coteaux Arrats Gimone;10770;5;12.9;22730;70.1;30.5;20;19.3;13;8.9;7.7;8.4
200042414;CC Bresse Revermont 71;9925;4.5;14.1;21880;64.9;37.1;28.4;16.8;8;5.3;3.3;6.5
200042463;CC de la Montagne Noire;5885;8.2;13.5;19650;57.5;39.3;21.4;19.3;10.9;8.5;5.3;6.5
200042497;CC Dombes Saône Vallée;40287;3.1;6.4;27220;81.6;22.1;16;18;15.3;10.6;10.6;10.9
200042604;CC de Granville, Terre et Mer;44842;3.8;15.9;23520;57.7;42.7;23.8;17.2;9.6;8.6;6.1;11.6
200042620;CC de la Région de Suippes;7756;5.9;7.3;21990;73.5;24;22.6;20.5;10.2;5.6;3.1;10.3
200042646;CC Grand Orb communauté de communes en Languedoc;19925;8.5;15.1;19680;52.6;42.6;24;18.7;8.4;7.7;5.3;8.5
200042653;CC Sud-Hérault;18124;6;13.9;20810;61.8;36.4;21.9;19.2;9.7;7.9;5.9;8.7
200042703;CC de l'Argonne Champenoise;11755;5.4;12.9;21670;64.8;33.9;29;17.3;9.9;4.6;3.6;9.7
200042729;CC de la Baie du Cotentin;23077;5.6;12.9;21500;65.2;35.5;28.8;16;8.9;5.4;4;6.6
200042901;CC Drôme Sud Provence;43002;5.6;9.4;22720;70.7;29.9;21.4;18.6;12.5;7.9;7.1;8.8
200042935;CA Haut - Bugey Agglomération;63434;5.8;8.4;21710;71.7;28;30.2;16.2;10.3;6.4;5;8.8
200042943;CC du Cap Corse;6628;4.7;16.1;21790;57.5;43;21.2;20.2;9.3;10.7;8.4;11.1
200042992;CC Perthois-Bocage et Der;5574;3.6;11.1;22670;67.7;34.3;25.5;19.6;9.8;5;2.9;8.2
200043016;CC Val de Charente;13725;6.5;15.4;20410;56.3;41.3;27.4;17.6;7.6;5.9;4.1;8.4
200043065;CC du Val d'Amboise;28071;4.6;10.8;23070;68.7;34.1;20.3;17.5;11.6;9;7.3;7.7
200043081;CC Chinon, Vienne et Loire;23445;5.2;12.1;22650;65.5;36.7;23.7;17.4;10.5;7;6.1;6.8
200043123;CC Auray Quiberon Terre Atlantique;89993;3.9;12.5;23770;61.5;39.1;15.3;19.6;13.1;10.4;8.4;11
200043156;CC du Pays Rethélois;30007;6;9;22200;73.1;26.9;25;17;10.7;7;4.3;8.3
200043172;CA du Bassin de Brive;108107;5.2;12.8;22470;66.9;34.3;20.2;18.8;11.3;8.8;6.5;8.5
200043263;CC Cœur de l'Avesnois;29098;7.9;9;20600;67.4;29.8;25.6;17.1;9.5;7;4.3;8.3
200043321;CC du Pays de Mormal;48266;5.3;8;22920;73.7;27.2;21.6;17.2;11.8;9.7;6.9;8.9
200043354;CC de Villedieu Intercom;15663;5.7;13.7;21250;64.8;32.9;31.1;15.9;8;5.6;3.2;8.8
200043396;CA Maubeuge Val de Sambre;123545;11.9;8.1;18380;62.8;30.3;27.1;18.4;9;5.9;3.4;6.7
200043404;CC du Sud Avesnois;24482;13.1;9.4;17850;59.6;31.8;31.6;15.7;7.8;4.8;3.1;7
200043438;CC de la Moivre à la Coole;9414;2.7;8.5;25470;75.4;26.1;17.2;18.3;13.8;8.8;5.1;11.6
200043495;CA du Pays de Laon;41739;9.1;8.5;20550;66.3;32.3;26.4;17.1;9.7;7.4;6.1;6.5
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;57158;5.6;15.6;21620;53.2;45.1;21.7;18.7;9.2;8.8;6.6;10.4
200043628;CC des Vallées du Clain;27069;3.9;8.3;24000;75.7;29.2;17.8;19.4;13;10;7.4;6.2
200043693;CC Terre Lorraine du Longuyonnais;15379;3.3;9.2;23840;46.5;23.7;23.6;18.1;9.7;6.9;3.6;36.1
200043776;CC Pyrénées Audoises;13580;8.8;17.5;18460;45.5;48.1;25.9;18.8;8.1;7.4;4.8;8.8
200043974;CC du Sud Gironde;39342;5.6;9.7;22260;71.3;30.2;21.1;18.5;11.2;8;5.8;6.8
200043982;CC du Bazadais;15776;5.9;13.6;21160;63.5;35.1;26.6;16.9;8.6;6.5;4.3;8.5
200043990;CC Vallons de Haute-Bretagne Communauté;44618;4.7;6.7;23400;80;22.7;17.2;19.7;13.5;8.7;6.9;6.4
200044014;CC Creuse Grand Sud;11593;7.2;15;19770;55;41.8;22;18.5;8.8;8;6.2;8.4
200044030;CC des 7 Vallées;29444;6.9;10.6;20460;64;34;26.5;17.9;9.4;5.7;3.5;7.8
200044048;CC Osartis Marquion;42651;4.8;7.6;22990;76.8;26.8;18.7;20.3;12.9;8.6;5.3;6.2
200044253;CC du Bassin de Joinville en Champagne;12282;7.4;12.6;20010;61;35.6;30.7;15.2;7.3;4.1;3;7.9
200044394;CC du Réolais en Sud Gironde;23949;7;12;20470;66;31.8;28.1;16.6;9.5;6.3;4.3;8.3
200044469;CC du Pays de Mirepoix;10565;6.7;12;20430;58.3;38.6;21.9;19.7;10.6;9.7;5.9;9.6
200044618;CA Douaisis Agglo;148582;9.3;8.7;20230;69.4;29.3;25.5;18;9.9;7.1;5.9;5.3
200044691;CA du Nord Grande Terre;56372;N/A - résultat non disponible;9.3;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;39.5;15.5;8.1;6.2;3.6;N/A - résultat non disponible
200046977;Métropole de Lyon;1424069;5.6;8.2;23950;79.9;22.7;18.3;15.7;11.8;12.3;20.1;10.8
200048551;CC du Pays de Craon;28639;5.4;11.7;21470;70;29.4;27.4;17.9;9.5;5.1;3;7.5
200049187;CA du Grand Verdun;27228;7.3;10.7;21610;66.9;33.2;21.4;18.8;10.9;7.3;5.4;7.2
200049211;CC Conflent-Canigó;20790;8.1;14.3;19760;52.9;43.3;20.2;19.7;9.4;10.1;7.1;8
200049484;CC Berry Grand Sud;11492;6.3;15.9;20050;53.1;45.1;29.3;16.1;7.3;5.8;3.4;7.6
200050532;CC de Petite-Terre;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible
200054781;Métropole du Grand Paris;7103801;4.3;7;24980;87.5;18.9;18.3;15.1;9.7;12.8;26.5;13.4
200054807;Métropole d'Aix-Marseille-Provence;1911311;6.5;9.9;23050;74.2;26.9;21;17.5;11.4;10.1;13.4;10.1
200055481;CC Beauce Val de Loire;19540;4.9;10.9;22840;71.4;30.3;24.2;17.1;10.6;6.4;4.5;7.3
200055655;CA Roissy Pays de France;360010;8.6;5.2;20260;82;19.3;28.3;19.3;10.4;7.7;6;4.5
200055887;CC Mayenne Communauté;36697;4.9;10.6;22670;69.4;30.3;25.4;17.1;10.8;7.5;4.3;9.2
200056232;CA Communauté Paris-Saclay;316066;3.6;7.5;27650;87;22.4;14.9;15.9;13.1;12.3;22.9;8.1
200056380;CA Plaine Vallée;184945;4;7.8;26140;84.4;22.9;17.4;17.4;12.8;12.4;16.1;9.3
200057859;CA Cœur d'Essonne Agglomération;206970;5.1;7;24930;83.7;22.8;18.6;18.6;13.3;10.2;10.9;6.1
200057958;CA Paris - Vallée de la Marne;228864;5.7;5.5;23990;84.1;21.8;20;19.4;12.9;10.7;10.9;5.2
200058360;CC entre Beauce et Perche;21037;4.3;9.2;23670;76.4;26.8;23.1;17.5;11.4;6.3;4;6.9
200058477;CA Val d'Yerres Val de Seine;177003;5;8.2;24910;82.1;25.2;18.6;18.1;12.5;11;12.9;6.3
200058485;CA Val Parisis;286277;4.4;6.8;25910;86.3;22.2;17.4;18.2;13.6;11.4;13.8;6
200058519;CA Saint Germain Boucles de Seine;336563;2.6;8.5;30830;90.5;20.7;13.4;14.4;11.7;13.8;28.4;12
200058782;CA de Saint-Quentin-en-Yvelines;230021;4.7;5.6;25750;87.2;21.6;16.5;17.2;14;11.2;17.8;5.3
200059228;CA Grand Paris Sud Seine Essonne Sénart;357664;7.5;4.9;21910;83.2;20.3;20.2;21;12.3;10;9.5;4.7
200059392;CC Bièvre Isère;55693;4.5;9;23340;73.1;27.5;20.8;18.4;12.1;7.5;5.5;9.2
200059400;CC Porte Océane du Limousin;25704;5.3;13.5;22070;64.3;37.2;25.1;17.7;9.4;7.2;4.6;6.6
200059871;CC du Centre-Ouest;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;427896;5.5;6.9;23990;84.8;21.9;22.1;17.3;12;10;12.6;6.3
200060010;CA Mauges Communauté;121626;4.8;9.4;22230;75.4;25;25.4;18.5;11.9;5.8;3.6;7.5
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;31397;3.9;12.1;23610;61.9;39.9;23.3;16.3;9.4;7.5;7;10.6
200065589;CC Val ès Dunes;18851;4.8;6.4;22940;75.1;27.2;21;19.2;11.9;6.7;4.8;6.9
200065597;CU Caen la Mer;274685;6;9.1;23010;72.1;30;19.3;16.4;11.4;11.2;12.6;8.3
200065647;CA Pays de Montbéliard Agglomération;139486;7;10.8;21500;69.3;32.3;27.4;15.9;10.6;6.5;5.7;5.6
200065787;CC de Pont-Audemer / Val de Risle;32520;6.5;9;22130;71.1;30.5;26.2;16.4;9.5;6;4.7;6
200065886;CA Loire Forez Agglomération;111734;4.3;9.9;23300;71.9;28.8;20.7;18.5;11.7;8.2;5.9;10
200065894;CC de Forez-Est;64264;4.3;11.1;23150;70.9;30.5;23.6;17.5;11.2;7.2;5.6;8.6
200065928;CA Lannion-Trégor Communauté;100259;4.4;13.8;23180;58.3;42.9;17.8;18.1;11.9;9.2;9.7;9.4
200066009;CA Mulhouse Alsace Agglomération;272677;6.7;9;22030;75.5;27.8;24.1;15.9;10.9;8;8;6.7
200066017;CC Lieuvin Pays d'Auge;20367;5.1;8.8;22260;70.7;30.7;26.3;17.4;9.3;5.8;4.1;7.9
200066025;CC Pays Rhin - Brisach;33843;2.9;7.4;26030;82;25.1;19.3;18.5;12.6;7;4.8;5.9
200066033;CC Sud Alsace Largue;22286;2.8;8.8;26500;82;26;19.6;17.2;12;7.1;4.6;5.8
200066041;CC Sundgau;47639;2.4;8.9;29410;83.5;27.1;19.6;17.2;11.9;7.8;6.6;6.6
200066058;CA Saint-Louis Agglomération;83448;2.1;7.6;32250;90.5;23.3;19.3;16.9;10.7;7.9;11.7;7.1
200066108;CC des Portes de Meuse;16118;4.5;10.2;22380;68.5;33.9;25.6;17.4;9.9;5.7;3;6.6
200066116;CC Argonne-Meuse;6935;5.3;13;21810;65.9;33;28.6;16.7;9.5;5.2;3.5;9.5
200066124;CA Gaillac-Graulhet;75329;5.8;11.8;21780;68.3;31;22.4;17.5;12.2;9.1;7.5;8.9
200066132;CC du Pays de Stenay et du Val Dunois;9497;6.1;12.8;20710;60.5;35.2;30.3;17;7.1;4.9;2.6;10.8
200066140;CC de l'Aire à l'Argonne;6409;4;10.9;22900;69.6;31.5;23.9;18.3;11.8;6.6;4.7;9.5
200066157;CC de Commercy - Void - Vaucouleurs;21997;6.6;10.7;21400;67.7;32.1;27.5;17.3;9.5;5.5;3.7;6.5
200066165;CC Val de Meuse - Voie Sacrée;8950;4.7;8.8;22240;70;27.7;23.6;18.6;10.6;6.3;3.3;11.6
200066173;CC de Damvillers Spincourt;8090;4.5;8.5;21860;61.2;25.1;24.1;18.7;10.7;5;2.7;20.3
200066223;CC Arize Lèze;11039;7.1;13.3;20140;61.1;35;22.9;18.1;10;9.1;7.1;8.4
200066231;CC des Portes d'Ariège Pyrénées;40455;7.6;10.7;21130;68;30;21.1;20.6;10.9;7.9;5.6;8
200066280;CC du Pithiverais;29208;5.6;9;22290;73.5;28.1;28.7;16;9.5;5.3;3.7;7
200066322;CC Terres des Confluences;42294;7.6;11;20180;65;32.6;29.1;17.6;8.8;6.2;4.2;7.6
200066330;CC Terres du Haut Berry;26052;4.3;9.7;23630;71.8;31.1;19;18.5;12.6;8;5.5;7.5
200066348;CC du Minervois au Caroux;14414;7.4;14.2;18920;51.6;43.6;21.3;19.5;9.7;9.1;6.6;9.4
200066355;CA Sète Agglopôle Méditerranée;128868;6.4;12.6;21640;61.6;36.8;21.8;19.1;10.2;8.5;7.1;10.4
200066363;CC de la Haute Ariège;7116;5.2;15.4;21260;56.5;44.1;19.1;20.3;10.6;7.9;6.3;7.3
200066371;CC Causses et Vallée de la Dordogne;45107;4.7;15.1;21740;58.4;40.6;21.7;18.6;10.3;7.7;6;10.4
200066389;CA Saint-Lô Agglo;76653;5.5;10.7;22280;68.8;31.9;24.7;16.7;10.8;7.5;5.2;7.4
200066405;CC Roumois Seine;41622;3.8;7.7;24850;76.8;27.6;19.5;18.3;13.5;7.7;6.3;7.1
200066413;CC Intercom Bernay Terres de Normandie;54213;6;11;22200;66.5;34.4;27.6;16.8;9;5.9;4.7;7.4
200066462;CC Interco Normandie Sud Eure;37618;6.2;10.9;21830;67;32.4;28.1;16.4;9.1;6.2;4.8;8.7
200066512;CC Élan Limousin Avenir Nature;27563;4.5;10.8;22570;70;33.4;19.6;18.9;11.3;7.3;5;5.5
200066520;CC Ouest Limousin;11320;5;14.9;20570;57.7;42.1;26.6;17.7;9.2;6.6;4.4;7.2
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;7978;5.3;15.3;20470;59.3;38.9;30.5;17.5;8.7;5.7;4;9.1
200066561;CC Sidobre Vals et Plateaux;12424;4.8;13.9;21090;62.7;35.6;25.9;17.8;9.7;6.5;4.3;9.4
200066587;CC des Monts du Lyonnais;35120;4.2;8.9;23360;75.9;25.4;21;18.6;12.7;7.8;5.8;8.5
200066603;CC du Pays de Lubersac-Pompadour;7493;4.4;16.5;21160;59.7;41.4;26.5;17.9;9.2;5.7;4.8;7.7
200066637;CC Hautes Terres Communauté;11258;5.2;16.4;20630;57.5;39.1;24.3;19.6;8.7;5.8;4.2;11.2
200066645;CC Vézère-Monédières-Millesources;5685;4.3;22;20770;46.5;53.4;29.5;16.4;8.2;6.7;4.5;8.1
200066652;CC Grand Sud Tarn et Garonne;43119;5.1;7.8;22790;79.3;23;19.3;19.5;13.1;8.4;6.5;6.6
200066660;CC Saint-Flour Communauté;23388;5;12.4;21290;63.5;33.7;23;19.7;9.8;6.1;4.2;10.9
200066678;CC de la Châtaigneraie Cantalienne;21059;4.7;15.6;21200;62.1;35.7;25.2;19.3;10.2;5.8;3.7;10.4
200066710;CC Cingal-Suisse Normande;24819;4.5;7.6;23020;78.1;24.1;20.5;18.6;12.3;8.8;6.2;6.9
200066728;CC Vallées de l'Orne et de l'Odon;26161;3.5;6.3;25300;80.7;24.8;13.7;18.9;15.5;11.9;9.3;6.4
200066744;CC Haute-Corrèze Communauté;32003;5.2;13.6;21480;61.9;37.8;23;18.8;9.7;7.1;4.9;8.3
200066751;CC Xaintrie Val'Dordogne;11171;4.5;16.9;21020;53.5;45.7;26.5;17.9;8.8;6;3.8;8.9
200066769;CC Midi Corrézien;13059;4;15;22230;61.9;38.7;20.2;18.8;10.7;8.6;6.6;9
200066777;CC Ploërmel Communauté;42404;4.9;12.1;21980;65.2;34.5;24.1;17.6;10.1;6.8;4.9;8.5
200066785;CC de l'Oust à Brocéliande;39471;4.8;10.9;22130;67.1;33.9;22.2;18.4;10.6;6.8;4.8;7.2
200066793;CA du Grand Annecy;210423;2.5;9.5;27940;81;23;14.7;17;13.5;13.4;15.6;11.4
200066801;CC Isigny-Omaha Intercom;26414;5;10.7;21960;67.3;33.8;27.8;16.4;8.7;5.7;4.4;7.5
200066819;CC du Volvestre;30684;5.5;8.6;23020;75.3;26.2;18.9;19.8;12.9;8.7;7.6;7.4
200066827;CC du Pays de Honfleur-Beuzeville;27116;4.5;9;23160;71.9;30.7;23.3;17;10.1;7.2;7;9.1
200066835;CC de Sézanne-Sud Ouest Marnais;21079;4.5;10.9;22940;67.6;31;26.1;16.9;8.7;5.3;3.8;12.6
200066850;CC des Paysages de la Champagne;20818;3.2;9.8;24050;74.3;26.7;25.8;16.9;10.4;6;4.3;14.8
200066868;CC Presqu'île de Crozon-Aulne maritime;22430;4;13.4;22940;59;42.7;16.1;21.3;11.4;8.7;6.6;8.3
200066876;CA de Châlons-en-Champagne;78998;6.4;8.7;22160;71.5;30;23.3;17.7;10.8;7.8;6.3;6.8
200066884;CC Quercy Vert-Aveyron;22766;6.1;9.5;22050;71;29.1;21.6;19.4;11.7;8;5.2;7.3
200066892;CC de Vendeuvre-Soulaines;7439;4.9;11.6;21770;68.2;29.9;30.3;15.8;9.1;4.6;3;11.8
200066918;CA Alès Agglomération;134056;8.7;12.2;20020;59.1;37;24.8;17.8;10;7.4;5.6;8.2
200066926;CA Grand Auch Cœur de Gascogne;39701;5.9;12.5;22870;64.5;35.1;18.6;19.6;11.8;10.8;8.1;9.7
200066975;CC Senlis Sud Oise;24838;2.6;8.6;28730;82;23.9;15.7;17.7;14.1;12.6;16.5;14.3
200067023;CC Coutances Mer et Bocage;47729;4.9;13.1;22030;61.7;38.9;23.8;17.4;9.9;7.7;5.9;8.8
200067031;CC Côte Ouest Centre Manche;22107;5.2;13.5;20940;61.6;38.9;31.8;14.9;7.1;4;3;7.6
200067049;CC Spelunca-Liamone;7723;4.2;16.7;22410;57.4;42.3;22.4;22.6;8.7;8.6;7.9;11.8
200067064;CC Decazeville Communauté;18141;6.6;17;20230;53.2;44.4;23.6;18.2;9;5.6;3.2;7.3
200067072;CC Haut-Léon Communauté;31574;4.3;13;22690;63.6;37;18.6;19.2;11.7;8.2;5.7;9.7
200067080;CC Chablis Villages et Terroirs;14598;4.3;11.5;23450;71.1;29.1;25.7;16.7;10;7;4.7;11.8
200067106;CA du Pays Basque;321963;4.4;12.4;23400;65.7;33.9;15.8;18.6;12.7;11;10.6;12.6
200067114;CA de l'Auxerrois;67663;6.1;11.5;22540;67.3;34;22.9;16.7;10.6;8.6;7.3;8.4
200067122;CC du Pays de Lafrançaise;11206;5.4;10.4;21590;70;28.8;23.5;18.6;10.7;7.2;4.3;8.8
200067130;CC de Puisaye-Forterre;33640;5.1;14.8;21450;59;41.4;27.2;15.9;8.9;5.5;4.3;8
200067155;CC Saint Affricain, Roquefort, Sept Vallons;13559;5.7;14.7;21390;61;36.7;23.6;18.7;10.2;8.4;5.4;9.4
200067163;CC Monts, Rance et Rougier;6286;6;15.4;19780;55.6;38.4;26.3;19.2;10;6.7;3.7;11.7
200067171;CC Aubrac, Carladez et Viadène;10004;4.2;18.5;20400;53.4;39.8;28.4;18.6;9;5.6;4.4;15.8
200067189;CC Creuse Sud Ouest;13478;6.4;15.2;20060;54.4;43.5;24;17;9.3;7.6;4.8;8.3
200067197;CC Monts d'Arrée Communauté;7684;6.9;13.9;20010;54.7;43.3;17.3;19.7;10.8;8.7;7.1;7.1
200067205;CA du Cotentin;178020;5.1;10.2;23310;71.5;31.4;20.7;17.9;10.9;7.7;6.8;6.9
200067213;CU du Grand Reims;297068;6.1;7.8;22930;76.1;26.5;21.6;17;12;10.1;11.4;8.7
200067239;CC des Luys en Béarn;29061;3.9;9.4;24260;73.5;29.3;14.3;19.8;14.6;9.2;8.7;8.2
200067247;CC Pleyben-Châteaulin-Porzay;22768;5.1;11;22250;67.9;32.4;16.3;20.7;12.7;8.7;5.4;7.8
200067254;CA Pau Béarn Pyrénées;164785;6;11.8;23280;68.9;32.4;15.9;18.2;12.5;11.2;13.5;9.3
200067262;CC du Haut Béarn;32007;5.1;13.2;22340;63;37.7;18.6;18.5;11.1;8.1;6.6;7.7
200067288;CC du Béarn des Gaves;17413;5.3;15.1;21680;60.3;39.7;21.6;16.7;10.3;7.9;5.8;8
200067296;CC du Nord Est Béarn;34658;3.6;9.2;24610;73.5;29.6;13.6;18.4;14.1;10;10.3;9.1
200067304;CC Serein et Armance;23499;5.8;10.3;21800;66.9;33.9;28.7;16.1;8.7;5.1;3;6.7
200067320;CC Serre-Ponçon Val d'Avance;7813;5.1;9.8;22140;68.1;31.8;15.8;20.8;12.9;9.1;6.8;8.7
200067346;CA Pornic Agglo Pays de Retz;67935;3.5;10.9;24220;65.9;36.4;16.2;19.1;12.5;8.6;6.7;9.7
200067361;CC Grand-Figeac;43818;4.9;14.7;21980;61.1;38.7;19.8;19.1;11.9;9.1;7.4;9
200067379;CC Côtes de Champagne et Val de Saulx;11433;4.9;9.9;21990;69.7;31;29.3;16.1;9.3;4.8;3.3;8.1
200067429;CC Haut Nivernais-Val d'Yonne;11816;7;15.7;20550;54.3;43.8;31.6;15;7.4;4.9;3.6;7.9
200067437;CA Provence-Alpes-Agglomération;48136;6.2;12.4;21930;61.9;37.7;20.2;18.7;11.1;9.3;6.3;8
200067445;CC Buëch-Dévoluy;9545;5.8;12.5;21470;59.9;39.3;16.7;20.9;11.7;9.9;7.4;8
200067452;CC du Guillestrois et du Queyras;7909;4;10.6;21590;63.3;35.4;14.1;20.4;12.9;11.4;8.7;12.1
200067460;CC Loudéac Communauté - Bretagne Centre;51540;5.6;12.5;21590;66.2;33.2;25.4;18.2;9.8;5.6;3.5;8
200067478;CC Comtal Lot et Truyère;19822;3.9;14.8;22720;62.2;34.2;22.2;18;12.2;8.5;6.1;13.9
200067486;CC Bouzonvillois-Trois Frontières;24229;2.9;7.8;24470;54.8;23;21.2;18.4;10.4;6.9;5.4;29.5
200067502;CA Saint-Avold Synergie;52150;6.2;9.5;21620;66.5;33.8;24.7;16.6;10;6.8;4.5;7.4
200067544;CC Creuse Confluence;16397;6;15.8;20250;58.4;39.8;26.2;17.4;9.1;5.4;3.9;7.9
200067551;CA Thonon Agglomération;93344;2.2;8.4;29750;83.9;21.2;16.2;18.4;12.2;11.4;10.2;8.8
200067593;CC Marche et Combraille en Aquitaine;13128;6.2;16.7;19230;52.8;41.7;26.2;18;8.4;6.1;3.9;11.9
200067627;CC Billom Communauté;25987;4;8.4;24020;77;26.3;17.1;18.5;13;9.7;8;7.8
200067635;CA Clisson Sèvre et Maine Agglo;56813;3.6;7.4;24510;81.2;22.6;15.3;19.3;15;10;8;7.7
200067643;CC Meurthe Mortagne Moselle;16508;5;9.4;23310;74.9;28.5;19.9;19;11.3;7.5;4.3;5.5
200067650;CC Houve-Pays Boulageois;22883;3.9;8.2;23620;74.5;27.4;20.7;19.2;10.9;7.4;4.6;8
